ALDH3B1	AOC3
CBR3	PTGES2
CAMK2A	PPP1CA
GPAM	AGPAT2
ITGB8	THBS4
SRD5A2	UGT1A5
ARPC1B	ACTC1
GLI3	CSNK1A1L
SFRP4	WNT10A
WNT3A	PORCN
SFRP4	FZD6
HADHB	RDH13
ACSS2	PCCA
ITGA9	LAMA1
POLR2H	ADCY5
CYP2C19	PLA2G2E
PRMT5	MAOB
CER1	WNT1
PIK3R1	PLCB3
MYL7	MYLK3
GNAQ	FZD4
POLR2F	NPR1
ITGB1	TLN2
ITGA6	THBS2
ENTPD1	UCK1
G6PC	PRKAG3
GSTA5	CYP2B6
ITGB8	RELN
ADH5	ALDH7A1
TJP1	CTNNB1
HADHA	PNPLA3
CRKL	ITGA9
MAP3K1	IKBKB
ITGA3	FLNA
POLR2F	GUCY1A3
PIP5K1A	PIK3C2A
PRKAG1	SLC2A1
PRLR	JAK3
UGT1A6	TRMT11
TYMP	ADA
ENPP6	PLA2G4A
PIK3R3	CD19
CALM1	PLCB1
CTBS	HK3
IFNAR2	TYK2
ITGB6	ACTN2
CALML6	PPP3R1
HSD17B2	UGT2B11
CNGB1	CLCA2
NRAS	SPHK1
COL6A2	SDC2
ITGA4	JAM2
PDE5A	GMPR
AGPAT1	DGKZ
TUBB6	GJA1
FYN	EFNA4
POLR2C	ENTPD8
GLI3	WNT9A
ITGA5	COL1A1
PISD	PLA2G2E
HADHB	SLC27A5
PHKG1	PPP1CB
CYP2C18	PLA2G5
DCTD	TK2
POLE	ITPA
AGXT2	GATM
UGT1A1	CYP19A1
CACNG4	RASGRP1
PLD1	LCLAT1
ALDH9A1	EHHADH
ITGA3	ACTN2
ADRA1D	GNAQ
SI	MOV10L1
RYR3	CACNA1H
B4GALT2	GALE
ITGB4	LAMB1
ITPKA	PLCB2
GAD2	ASNS
CDKN1B	CDK4
SRC	GJD2
IDH2	OGDHL
CSF3R	JAK3
AGPAT2	CDS1
IL12A	FOS
HSP90B1	AR
MAML1	RBPJL
SOS2	FGFR3
LRP2	IHH
NT5C2	PDE9A
MAPK12	DUSP2
CYP2B6	PLA2G2F
AOC2	SAT2
APOA1	RXRB
RXRA	UCP1
GNAS	ADCY7
GDA	HPRT1
RRM2B	ENTPD3
NAGA	HEXB
TXNDC12	GGT1
ALPL	ASCC3
NT5C1B	PDE5A
POLR3GL	ENTPD3
PTGS2	PLA2G12A
PPP2R1B	AXIN2
INPP5E	PIKFYVE
PRKCG	RRAS2
MTMR1	NANS
PIK3R1	JAK3
PTPMT1	PIK3CA
GUCY2F	PRKG2
F2R	GNAQ
ITGA1	LAMB2
IFNGR2	IFNA13
ENTPD1	PDE3B
DIAPH2	PFN1P6
ACSS2	ALDH3B2
CALML6	MYLK3
SMAD7	SMAD2
ST6GALNAC1	B3GNT6
POLR2I	ENTPD2
CHEK1	ATR
ADHFE1	UGT2B17
DEGS1	PPAP2A
ENTPD3	POLE2
INS	CACNA1D
EDNRB	GNA11
DDC	LCMT1
PRKCB	PLA2G12A
NOX3	MMP9
GUCY2C	NOS2
HTR2C	GNA15
APC2	AXIN2
ITGB5	COL5A2
POLR3G	CTPS1
PTGS2	NFAT5
POLR1C	ADCY7
PIK3R2	CD28
SHMT1	AGXT
RBL2	E2F2
TJP3	CLDN23
CDC6	CDK2
SMAD2	RBL2
PDE8B	AMPD2
PRKY	RAP1A
RELA	VEGFB
PIK3CA	ICOS
AZIN2	GCLC
CTPS1	NME6
ITGA3	FLNC
ADCY5	NUDT2
CCNB2	FZR1
BDKRB1	KNG1
PAK2	MYLK2
MTHFD2	MTHFD2
NME4	DUT
MAPK3	MAP2K2
AK1	PDE6H
ITGA2	ACTN4
AK2	NT5C3A
CALML3	PLCB1
DAO	GLDC
CCNE1	E2F2
TJP1	PRKCH
GRM5	CAMK2D
ACTN1	PIP4K2C
INPPL1	PLCG2
PDE6G	AMPD1
ALOX12	CYP4F3
RYR2	CACNA1F
PIK3R3	INS
CYP7A1	RXRG
GSTA5	CYP2S1
BPNT1	CHST11
B4GALT2	FUT9
FLT1	PDGFA
PRKCA	LYN
RPS6KA3	IGF1
ITGA8	TLN2
CCL4	FOS
ITGA1	COMP
ILK	AKT3
TRAF6	TAB2
HTR2B	GNA15
SOCS7	IL23R
MYC	CDK6
EP300	EPAS1
DDC	MAOB
TRMT11	MAOB
PIK3CA	INS
ROCK2	PIP5K1A
PPARD	LEF1
POLR1D	ADCY10
PIK3R5	VAV3
CNGA3	GUCA1C
POLR1C	GUCY2D
PTGS2	NFATC3
ENTPD4	PDE7A
WNT6	FZD9
MAPK3	PLA2G12B
HSD17B1	UGT1A1
PKLR	ADCY4
CALML6	PPP1R3A
FZR1	ANAPC10
ST3GAL1	FUT2
PRKACB	CREB3L2
SULT1E1	UGT1A3
COL2A1	SDC4
FYN	CBL
IGSF5	PPP2R1B
MCM3	DBF4
PIK3CD	CRK
PVRL1	PVRL3
GPX3	GSS
ALPL	DDX23
CACNG2	RASGRP2
GRM5	GNA11
ANAPC4	CDC14B
PIKFYVE	PI4KB
ITGA7	COL6A2
AOC2	SAT1
RAPGEF2	RRAS
WNT16	FZD3
MAPK3	PTPN11
HMGCL	BDH1
PIK3R5	BTK
SPCS1	HLCS
POLR3GL	CTPS2
ITGA1	TLN2
CYP2B6	PTGS1
POLR2K	ADCY9
PIK3CD	KDR
FYN	GAB2
NT5C3A	AMPD3
BPNT1	PAPSS1
PFKFB1	HK1
INMT	PRMT3
MAD1L1	ANAPC1
STAT3	EP300
ALPL	NUDT8
DHRS4	PTGES
POLR1B	NME1
SRC	MAP3K2
PPARG	CPT1C
BCAR1	CRK
MAPK10	DUSP14
COL1A2	SDC3
NCK2	EFNB1
RRM2	CANT1
ELK4	MAPK11
ARPC5	DIAPH1
PLD1	DGKH
NFKB2	CHUK
ARPC4	DIAPH1
MTHFS	MTHFD1
TP53	ATR
CTH	GLUD2
GPX5	ALOX15
RPS6KA2	IGF1
CCR3	CCL24
HK3	PGM1
FOXO1	FBP2
GMPS	PDE4D
NT5E	NMRK1
POLR2D	GUCY2D
SOS2	RASGRP1
MAD2L1	CDC16
PRPS2	TKTL1
POLR2B	CTPS1
NOS1	NFKB1
MAPK12	PTPN5
AKT1	CASP9
PLCD1	PIK3C3
NMNAT2	CD38
ENTPD3	DCK
IKBKG	AKT3
WBSCR22	HAAO
SV2B	LAMC1
PTGS1	CYP4F3
NOX3	RAC1
STAT5A	PIAS3
CALML3	ITPKB
GNAS	TAS1R2
PIK3R5	PTK2
IDO1	MAOA
PNPT1	NME7
HMOX1	BLVRA
SULT1E1	HSD17B12
LCP2	GRB2
JAM2	PPP2R1A
WNT4	FZD7
MAT2B	PRMT7
ENTPD3	POLA2
PHKA2	PYGL
PPP1CB	GYS1
CLDN14	TJP2
GSTA2	CYP1A2
RASA1	EFNA5
PIK3R1	PRKCI
PDE6G	DCK
RARS	NOS2
ITGA3	TLN1
MAPK1	RPS6KA6
TGFB3	LTBP1
NT5C	GMPR
CREB3	EP300
SOCS1	TYK2
FGFR1	FGF6
GNAS	ADCY3
SFRP4	WNT7A
ADCY3	PDE9A
STAM2	JAK2
GPT	AARS
GPAM	AGK
PIK3CB	FLT3
SOCS5	IL2RG
CALM2	PPP1CC
ITGA4	COL6A1
CACNA1B	RASGRP3
HSD17B3	UGT1A7
ACTN2	PIP5K1B
TMLHE	SPCS1
PPAP2B	SMPD4
GSTA2	GPX3
ACADSB	EHHADH
GMPR2	GUK1
MAPK9	DUSP3
GOT1	CTH
AK7	PDE7B
AK5	PDE7B
ACOX1	ACSL1
PIPOX	ALAS2
CD247	FCGR3B
RXRG	OLR1
IDH3G	ACO2
ALPL	PTS
INS	NEUROD1
ADSS	DARS2
PRKCG	GJA1
ITGA4	CHAD
POLR2B	ADCY3
DHRS3	KAT6A
CALML6	NOS2
PDGFA	PDGFRA
ENTPD6	ADSS
RDH13	MAOB
MPDZ	CLDN7
ADCY8	GNAI2
GALC	NEU4
PLA2G4A	PAFAH2
ADCY9	PDE4D
PLCB2	PPP3CB
GLI2	WNT9A
CSF2RB	CBL
ACTG1	MYH9
RAF1	NRAS
ITGA10	FLNA
ACAA2	AKR1B10
ITGA11	TLN2
ENTPD8	NME2
POLR3A	AK3
HRAS	CALM2
UGT8	SMPD4
RXRB	CYP27A1
POLR2L	GUCY1A2
NT5C2	PDE1C
ADH1A	UGT1A1
DEGS2	SMPD1
INPP5K	PLCD1
GUCY2C	PDE1C
DHFR	FTCD
AKR1C4	CYP2B6
RAC3	NFKB2
ITGA2B	VASP
PRICKLE2	VANGL2
UGT2B4	ARSD
ACTG1	TJP2
ID4	SMAD4
SRC	PRKCB
GSK3B	CREB1
RXRA	ACOX1
OCRL	PLCB3
ENTPD5	PDE5A
CALML6	PHKA2
GNB3	PLCB2
PTTG1	ANAPC10
PIK3R1	OCRL
PLA2G6	ENPP2
B3GNT6	GALNT6
ADH7	UGT2B17
NGEF	RAC3
MAPK13	DUSP8
PTEN	PI4KA
PTEN	PLCG2
JAM2	PRKCG
SFRP2	WNT7B
CDKN2C	CCND2
UGT2B28	CYP2B6
WNT8B	FZD5
FNDC3A	ITGB7
F10	F9
CYP2B6	PLA2G2A
PLA2G10	PAFAH2
POLR2A	NME6
IMPA2	CDIPT
PIK3CA	TYK2
ITGB5	LAMB3
WNT4	FZD3
MAD2L2	CDC20
CDK4	CDKN1A
CLDN23	TJP2
MPI	PFKFB3
ITGA9	COL1A1
MCCC2	EHHADH
PAK7	RAC3
SMAD3	CDKN1C
ANAPC5	ANAPC11
MCM6	ORC4
LTBP1	THBS3
CHPT1	PLA2G12A
PIK3CD	FGFR2
GAD2	GLUD1
MAPK1	INSR
ENTPD5	UPRT
VAV1	BLNK
IFNA8	PSME3
INPP5E	PLCB1
AZIN2	ARG2
ITGA4	PARVG
ITGB2	JAM3
PIK3R5	SRC
PLA2G3	CYP3A5
PDE4D	AMPD2
PLA2G4A	ALOX15
WNT8B	FZD4
ASMT	ALDH3A2
SMAD7	SMURF2
ITGA11	LAMA2
GGTLC2	GCLM
MPDZ	CLDN16
GCNT1	GALNT5
ENPP3	ACP6
ROCK1	MYL10
ALDH3B1	ADHFE1
GNAQ	FZD10
MGST1	GPX3
HSD17B2	UGT2B15
CYSLTR1	GNA14
ALDH3B1	ADH1B
TYR	MAOB
AOX1	MAOB
FGFR2	EGF
B3GNT2	GCNT2
SMAD2	ZFYVE9
ALOX5	CYP4F2
SHC1	KDR
PLOD1	EHMT1
ARAF	MRAS
CCNB1	ANAPC7
ENTPD3	PDE1A
PIK3CB	KDR
PHKB	PPP1R3B
PLCB2	FZD5
MCM6	ORC6
POLR2I	PKM
RELA	AKT3
GSTA2	CYP2E1
SRC	RAC1
ITGA11	FLNB
SOCS7	STAT3
CNDP1	PRMT3
ENTPD4	PDE1C
PLXNB2	RAC1
TGFB3	LEFTY2
PLA2G4A	GNAI1
UGT1A9	METTL6
POLR2D	GUCY2C
FGFR3	FGF14
GOT2	CARS
PLCB1	FZD4
ITGA5	LAMB2
ITGB1	ACTN3
CYP2J2	GPX5
METTL2B	MAOA
ITGA9	LAMA5
AMDHD1	UROC1
CYP2J2	GPX4
G6PD	H6PD
ADCY8	GNG3
ITGAV	ACTN1
TKTL2	TALDO1
ALDH3A1	HSD17B4
LTA	PSME3
IRS4	IKBKG
TP53	CHEK2
GOT2	HPD
PLA2G3	GNAI2
GSTA4	CYP2B6
ALOX5	LTA4H
WNT7B	FZD9
PIK3R1	KRAS
BDKRB1	GNAQ
AASDH	AADAT
FARS2	PAH
ADCY10	PDE7A
HSD17B7	UGT1A1
SOCS3	IL5RA
SHMT1	GATM
ABLIM2	RAC2
POLR2K	GUCY1A3
NCK2	WAS
NRAS	RASGRP1
GSTM5	GGT7
GSTM2	GGT7
AGPAT2	CDS2
ITGB3	CHAD
PLCB2	FZD6
CALM2	PHKG1
MAPK10	TRAF2
RDH12	EPHX2
RHOA	RAP1B
COL5A1	SDC3
GUCY2C	PDE4A
DVL2	FZD10
ARHGAP5	RHOA
MYL12B	PPP1R12B
GNAL	ADCY7
ITGA4	THBS1
GUSB	UGT1A3
PPP1R3B	AKT3
NT5C	AMPD1
ITGA11	ACTN4
LCLAT1	GPD2
SOCS4	IL2RG
FARSA	PAH
ADCY5	GNAI2
GNRHR	GNAQ
PRKCB	NRAS
IFNGR1	CBLB
VCL	ACTB
PRKCA	RHOA
RND1	PLXNA2
DVL3	AXIN1
ITGAM	JAM3
HSD17B12	UGT2B15
PHKB	PPP1R3A
NFKBIA	CHUK
DVL3	AXIN2
ALOX5	PLA2G1B
ENTPD5	NT5E
ITGA2B	LAMA2
SOCS4	IL12RB2
CYP4A11	ALOX15B
MAD2L2	ANAPC1
ACSL5	ACADM
PLA2G15	PLA2G2D
PLA2G10	CYP2E1
PLXNB2	RAC3
VAV1	RAC1
RYR2	P2RX1
SHMT1	ALDH7A1
PRKCZ	SLC2A4
POLR3A	ADCY7
ROCK1	RHOA
ITGA6	IBSP
PDE4D	ADSL
C3AR1	C3
POLR3H	GUCY1B3
MAPK10	JUN
IGF1R	GNA13
TJP1	CLDN1
CDKN2D	CCND1
SRD5A2	UGT1A4
MAP2K1	PIK3CB
ITGA7	TNR
PDE6G	GUK1
PRODH	LAP3
VAV3	ITGB2
PTTG2	CDC20
INPP5B	PLCD3
B3GNT5	B3GALT5
UGT1A6	LCMT1
SOCS2	CNTFR
COL6A2	ITGB8
MAPK11	PTPRR
FGF4	PDGFRA
ALPL	RUVBL2
CNDP1	PRMT7
CNGB1	CALM3
AKR1C4	UGT1A6
HSD17B3	UGT1A5
NT5C	ITPA
GSTM1	CYP1A2
CNGB1	CALM1
MYL9	PPP1CC
GNPDA1	GNPNAT1
CACNA2D1	RASGRP1
PLA2G2E	PAFAH1B3
ENTPD4	PDE4C
BAX	CSF2RB
PTK2	FLT1
HCST	GRB2
MYL10	PPP1R12B
CALML3	PPP3R2
IL13RA2	JAK1
CALM2	GRIN2B
NMNAT3	QPRT
RRM1	NME6
ALPI	DDX54
FUT4	B4GALT4
PIK3CD	ZAP70
ST6GALNAC1	GALNT11
TGFBR2	SNAI1
POLR2D	CTPS1
SOCS3	IL23R
VAV2	BLNK
ALDH2	EHHADH
GLI2	CSNK1A1
IL13RA1	CBLB
POLR3GL	CANT1
MAPK13	DUSP7
GCH1	ERCC2
POLR2H	CTPS1
PPARA	ACOX2
RAPGEF1	CRKL
PRPS2	TKTL2
INHBC	ACVR2B
ADCY5	NME1
CDIPT	PIK3R3
GSTT2	CYP1A2
UGT2B7	HEMK1
LEPR	JAK2
AK5	ENTPD1
ITGB4	LAMB2
CSNK1A1	AXIN2
NFKBIB	IKBKB
SOCS4	STAT6
DGKQ	LIPG
PPARG	ACSL6
CHUK	TRAF2
MAPK3	IGF1
ITGA5	TLN2
CREB3	CREBBP
BUB1B	ANAPC7
PXN	ITGB1
ENTPD1	PDE8A
UGT1A1	PRMT3
HSD17B12	UGT1A6
ADCY1	GNAI3
NT5C1B	CDA
PAK6	RAC2
ACAA2	ACAD8
GSTP1	GGTLC2
PRKCB	CARD11
GCH1	SKIV2L2
GLI2	BMP8A
GALNT3	C1GALT1
PPP2R2A	PRKCI
CRKL	ITGB7
GUCY1A3	PDE7A
CACNG5	RASGRP3
ITGA4	TNXB
STAT1	VEGFC
PPP2CA	MAPK3
NOTCH2	DTX3
ADH1B	ALDH3A2
E2F1	CCNA2
AGPAT1	CDS2
HSD17B8	UGT2B7
ITGB6	LAMB2
DDC	TPH2
PFKFB4	PFKL
TJP1	ACTG1
BIRC3	CASP6
ACSL3	CPT1B
ENTPD1	PKLR
ADCY4	PDE4C
IFNA8	PSME2
DGKA	LIPF
AADAT	RDH14
COL1A1	GP6
PIK3CG	PRKCI
PFKFB2	PFKL
BCAR1	ITGB5
TYMS	ITPA
MDH1	FH
GAPDH	PGAM1
SV2A	LAMB1
KRAS	IGF1R
POLR3B	ENTPD3
DVL2	RAC1
RPS6KA2	INS
PIK3R2	KRAS
LPL	LIPA
FUT1	FUT6
ITGAV	FNDC1
BDH2	OXCT1
CERK	GALC
ALPPL2	PTS
CASP7	BIRC2
ETS2	MAPK3
MYL9	MYH14
CSF2RA	JAK1
MAPK9	ELK1
DVL1	FZD10
ENTPD1	POLD3
MAPK11	PTPN5
ADK	PDE4A
GSTA4	GPX6
DCC	CHP1
UGT2B10	CYP2B6
PIK3R2	CD19
B4GALNT1	B3GALT4
HRAS	GNAI1
MAT2B	HEMK1
QARS	PPAT
ADH1C	UGT2B17
COL4A1	ITGAV
GSTA2	GSS
PDE11A	AMPD1
BAIAP2	INSR
ECHS1	KAT6A
PRKACG	ADCY6
PIK3CB	MET
ACSS1	ALDH3A2
ACER2	PPAP2A
POLR2B	NUDT2
PIK3CD	INS
INPPL1	PLCZ1
FUT1	FUT3
ITGB7	PARVA
GGT1	GCLM
RXRA	ACOX3
DAG1	LAMA1
ENTPD5	NT5C2
LHPP	SORD
WNT2B	FZD2
HEXB	A4GALT
FGD1	GNG12
DVL2	GSK3B
NOTCH3	PSEN2
ROCK2	MYL8P
RDH12	MAOB
STAT6	PIAS2
UGT1A1	METTL6
MAPK9	IRS4
BCAT1	VARS
DHDH	CYP2S1
AHCYL2	METTL2B
ENTPD1	GMPR2
DVL1	NOTCH3
STAT5A	EP300
INPP4B	PIK3R3
CCNE1	E2F3
ADH6	CYP2B6
PPARG	SLC27A1
HPRT1	GMPR2
MAD1L1	CDC26
MGST2	CYP2C19
MCM2	CDC7
VAV1	ITGB2
IMPA1	PLCB2
PPARA	SCD
CYP2C19	CYP4A11
KCNB1	PRKACB
PIK3CD	KIT
ALDH3B2	AOC2
FUT6	B3GNT4
PTK2	ITGB5
PDE10A	AMPD1
PTGER3	GNA14
MYC	E2F5
POLR1C	GUCY1A3
INPP5J	ITPKA
ENTPD6	PDE9A
PTEN	PIK3R5
CHPT1	DGKG
DAAM1	DVL1
PTK2	PRKCA
LLGL1	PRKCI
ARPC4	ACTB
CDH5	CTNND1
SMO	PTCH2
PIK3R2	RRAS
ABCC8	CACNA1C
CAMKK1	PRKAA2
AK2	ENTPD8
PIP5K1B	PIK3R1
POLR2B	GUCY2F
LCT	GLA
NPR2	PDE1C
ENTPD5	NT5C
ITGB6	COL1A2
SOCS1	STAT2
ITGB8	TLN2
ACTA1	PFN3
MAPK3	CAMK2G
INPP4A	PIK3C3
FZR1	CDC26
POLR1A	GUCY1B3
TNF	NFAT5
PIK3R3	PLCB1
ACTN4	PIP4K2A
